fbr_id,full_name,declared_income_pkr,tax_paid_pkr,filer_status,reported_address,phone_number,income_source,wealth_source,occupation,years_as_nonfiler,has_bank_account,clean_name,clean_address,address_id
FBR-8001,Bilal Ahmed,0,0,Non-ATL,"House 10, Gulberg, Lahore",0316-2458591,Cash,Cash,Student,5,False,bilal ahmad,"house 10, gulberg, lahore",2b119d62
FBR-8002,Fatima Raza,0,0,Non-ATL,"House 10, Gulberg, Lahore",0311-2571945,Cash,Cash,Driver,3,False,fatima raza,"house 10, gulberg, lahore",2b119d62
FBR-8003,Hassan Ali,1800000,24446,ATL,"House 29, DHA, Lahore",0300-1234567,Salary,Savings,Businessman,0,True,hassan ali,"house 29, dha, lahore",443862c0
FBR-8004,Zara Malik,1800000,32298,ATL,"House 18, DHA, Lahore",0300-1234567,Salary,Savings,Engineer,0,True,zara malik,"house 18, dha, lahore",dc5cde44
FBR-8005,Omar Farooq,1200000,16078,ATL,"House 25, Gulberg, Lahore",0300-1234567,Salary,Savings,Engineer,0,True,omar farooq,"house 25, gulberg, lahore",b50e5eb0
FBR-8006,Sana Khan,960000,18223,Non-ATL,"House 59, Bahria Town, Rawalpindi",0344-3094235,Business,Savings,Teacher,0,True,sana khan,"house 59, bahria town, rawalpindi",baa9007f
FBR-8007,Usman Chaudhry,480000,5750,ATL,"House 99, F-7, Rawalpindi",0328-2338687,Salary,Savings,Teacher,2,True,usman chaudhry,"house 99, f-7, rawalpindi",4e3a2772
FBR-8008,Sardar Kamran,0,0,Non-ATL,"Plot 7, DHA Phase 8, Lahore",0300-9998882,,Cash,Unemployed,8,False,sardar kamran,"plot 7, dha phase 8, lahore",2874b73a
FBR-8009,Javed Afridi,1000000,50000,ATL,"Phase 6, Hayatabad, Peshawar",0345-7778890,Business,Foreign Remittance,Importer,0,True,javed afridi,"phase 6, hayatabad, peshawar",eb57f37a
FBR-4412,Ali Raza,1800000,180000,ATL,"Flat 4, Block D, I-8, Islamabad",0322-7776665,Salary,Savings,Engineer,0,True,ali raza,"flat 4, block d, i-8, islamabad",de3b6e2a
FBR-7712,Ch. Muhammad Arshad,0,0,Non-ATL,"Plot 14, DHA Phase 6, Lahore",0300-1112223,Cash,Cash,Businessman,5,False,chaudhry. muhammad arshad,"plot 14, dha phase 6, lahore",be309bb7
FBR-9012,Farhan Ahmed,0,0,Non-ATL,"House 5, Street 2, Gulberg III, Lahore",0300-0000001,Cash,Cash,Businessman,4,False,farhan ahmad,"house 5, street 2, gulberg iii, lahore",7d856895
FBR-8000,Ayesha Siddiqui,0,0,Non-ATL,"House 10, Gulberg, Lahore",0311-5614226,Cash,Cash,Driver,3,False,ayesha siddiqui,"house 10, gulberg, lahore",2b119d62
