registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type,registry_type,noc_status,society_name,plot_number
REG-PRO-101,Muhammad Arshad,Malik Riaz Developers,"Plot 14, DHA Phase 6, Lahore",2500000,2025-01-15,20,Residential,File,Approved,DHA Lahore,Plot 14
REG-PRO-102,Farhan Ahmed,Zubair Khan,"House 5, Street 2, Gulberg III, Lahore",80000000,2024-03-10,20,Residential,Registry,Approved,Gulberg,House 5
REG-PRO-103,Syed Bilal Hassan,Properties Ltd,"Sector C, Bahria Town, Rawalpindi",15000000,2025-02-20,10,Residential,File,Approved,Bahria Town,Plot 99
REG-PRO-104,Bilal Hassan,Al-Kareem Builders,"Block D, Bahria Town Phase 8, Rawalpindi",12000000,2024-11-05,8,Residential,File,Approved,Bahria Town,Plot 204
REG-PRO-105,S. Bilal Hassan,Capital Property,"Sector F, Bahria Town, Rawalpindi",18000000,2024-07-12,12,Residential,Transfer Letter,Approved,Bahria Town,Plot 312
REG-PRO-106,Dr. Ayesha Malik,Capital Builders,"Bahria Town Phase 7, Islamabad",30000000,2024-06-12,8,Apartment,Registry,Approved,Bahria Town Phase 7,Apartment 3A
REG-PRO-107,Haji Abdul Razzaq,Ali Hassan,"Pechs Block 2, Karachi",80000000,2019-11-05,40,Commercial,Registry,Approved,Pechs Karachi,Plaza 4
REG-PRO-108,Abdul Razzaq,Tariq Properties,"Tariq Road, Karachi",65000000,2021-03-20,30,Commercial,Registry,Approved,PECHS Commercial,Shop 12
REG-PRO-109,Haji Razzaq,Habib Builders,"Clifton Block 5, Karachi",120000000,2022-08-14,30,Residential,Registry,Approved,Clifton,Bungalow 45
REG-PRO-110,H. A. Razzaq,Federal Builders,"DHA Phase 2, Karachi",55000000,2020-05-10,20,Residential,Registry,Approved,DHA Karachi,Plot 88
REG-PRO-111,Malik Pervaiz Akhtar,Green Valley Developers,"Block B, Green Valley Housing Scheme, Faisalabad",8000000,2024-09-01,10,Residential,File,Unapproved,Green Valley Housing Scheme,Plot B-45
REG-PRO-111,Zafar Hussain,Green Valley Developers,"Block B, Green Valley Housing Scheme, Faisalabad",9000000,2024-11-15,10,Residential,File,Unapproved,Green Valley Housing Scheme,Plot B-45
REG-PRO-113,Green Valley Enterprises Pvt Ltd,LDA,"Block C, Green Valley Housing Scheme, Faisalabad",25000000,2023-06-30,20,Commercial,Registry,Pending,Green Valley,Commercial Plot C-1
REG-PRO-314,Zainab Abbasi,Ayesha Iqbal,"House 16, G-10, Lahore",8584875,2022-09-02,14,Agricultural,File,Approved,Hayatabad,Plot 92
REG-PRO-315,Ayesha Nawaz,Imran Butt,"House 126, Nazimabad, Lahore",19052372,2024-01-02,10,Residential,Registry,Unapproved,PECHS,Plot 424
REG-PRO-316,Ali Ahmed,Ayesha Malik,"House 141, Hayatabad, Lahore",19441328,2021-05-14,14,Agricultural,Registry,Pending,Hayatabad,Plot 371
REG-PRO-317,Amna Rizvi,Hina Iqbal,"House 80, Nazimabad, Rawalpindi",10099167,2022-03-04,10,Agricultural,File,Unapproved,F-7,Plot 329
REG-PRO-318,Zubair Siddiqui,Sana Hassan,"House 67, DHA, Rawalpindi",10371126,2024-10-06,14,Agricultural,Registry,Approved,DHA,Plot 326
REG-PRO-319,Ali Baig,Tariq Bibi,"House 104, Pechs, Rawalpindi",8943521,2018-03-20,10,Commercial,Allotment Letter,Pending,DHA,Plot 454
REG-PRO-320,Muhammad Sheikh,Saima Ahmed,"House 113, Clifton, Faisalabad",6684234,2024-12-15,5,Commercial,Registry,Pending,Gulberg,Plot 469
REG-PRO-321,Tariq Butt,Waseem Hassan,"House 98, Johar Town, Karachi",22770649,2020-02-06,7,Agricultural,File,Unapproved,F-7,Plot 473
REG-PRO-322,Zubair Iqbal,Tariq Butt,"House 49, G-10, Peshawar",8506816,2025-04-09,20,Agricultural,Transfer Letter,Approved,Hayatabad,Plot 318
REG-PRO-323,Sana Rizvi,Tariq Abbasi,"House 65, DHA, Peshawar",16886226,2021-05-12,20,Residential,Transfer Letter,Approved,Clifton,Plot 102
REG-PRO-324,Hina Malik,Fatima Mirza,"House 118, Nazimabad, Islamabad",14621395,2024-05-19,14,Industrial,Registry,Approved,Local Scheme,Plot 131
REG-PRO-325,Fatima Chaudhry,Waseem Bibi,"House 89, Clifton, Islamabad",9866565,2026-06-13,14,Residential,Allotment Letter,Pending,F-7,Plot 330
REG-PRO-326,Hina Abbasi,Zainab Abbasi,"House 32, Bahria Town, Lahore",8539268,2024-04-14,7,Commercial,Registry,Approved,PECHS,Plot 309
REG-PRO-327,Bilal Mirza,Zubair Bibi,"House 28, Gulberg, Lahore",19740786,2020-10-20,7,Industrial,Allotment Letter,Approved,Bahria Town,Plot 18
REG-PRO-328,Bilal Abbasi,Hina Hassan,"House 71, Gulberg, Rawalpindi",5014612,2022-04-03,14,Residential,File,Approved,Gulberg,Plot 377
REG-PRO-329,Zubair Abbasi,Saima Chaudhry,"House 132, F-7, Peshawar",28011190,2025-09-11,10,Commercial,File,Approved,Bahria Town,Plot 423
REG-PRO-330,Usman Raza,Tariq Baig,"House 41, Nazimabad, Peshawar",17514717,2022-12-26,20,Commercial,Transfer Letter,Approved,Local Scheme,Plot 93
REG-PRO-331,Imran Qureshi,Hina Abbasi,"House 13, Johar Town, Karachi",22605292,2021-10-05,7,Industrial,Allotment Letter,Pending,Clifton,Plot 479
REG-PRO-332,Tariq Siddiqui,Bilal Malik,"House 102, G-10, Rawalpindi",28167999,2026-01-17,5,Commercial,Transfer Letter,Unapproved,Bahria Town,Plot 479
REG-PRO-333,Sana Rizvi,Imran Khan,"House 135, F-7, Karachi",9454182,2022-10-11,10,Commercial,Registry,Approved,Hayatabad,Plot 264
REG-PRO-334,Usman Abbasi,Sana Chaudhry,"House 143, G-10, Lahore",6147203,2018-11-20,20,Residential,Allotment Letter,Approved,DHA,Plot 103
REG-PRO-335,Usman Raza,Fatima Raza,"House 107, DHA, Faisalabad",23117511,2023-06-24,5,Residential,Registry,Pending,PECHS,Plot 196
REG-PRO-336,Ali Baig,Fatima Qureshi,"House 136, Nazimabad, Karachi",21435965,2020-11-02,14,Industrial,Transfer Letter,Approved,F-7,Plot 22
REG-PRO-337,Imran Butt,Hamza Qureshi,"House 133, DHA, Karachi",11983144,2024-06-04,14,Agricultural,Transfer Letter,Approved,DHA,Plot 266
REG-PRO-338,Fatima Mirza,Usman Baig,"House 31, Hayatabad, Lahore",23764019,2020-04-12,10,Agricultural,Registry,Approved,F-7,Plot 415
REG-PRO-339,Hina Hassan,Usman Ahmed,"House 61, Nazimabad, Lahore",17260556,2025-03-14,14,Agricultural,Transfer Letter,Approved,Bahria Town,Plot 3
REG-PRO-340,Imran Nawaz,Muhammad Nawaz,"House 112, Gulberg, Rawalpindi",3689495,2019-08-21,20,Agricultural,Allotment Letter,Approved,PECHS,Plot 197
REG-PRO-341,Ahmed Nawaz,Nadia Chaudhry,"House 66, Nazimabad, Rawalpindi",6504895,2022-08-27,10,Residential,File,Approved,Gulberg,Plot 134
REG-PRO-342,Ali Siddiqui,Hina Nawaz,"House 79, Gulberg, Rawalpindi",25215481,2019-11-24,5,Agricultural,Transfer Letter,Approved,Local Scheme,Plot 212
REG-PRO-343,Zainab Rizvi,Sana Ahmed,"House 8, Johar Town, Peshawar",17871611,2019-01-15,14,Commercial,Allotment Letter,Approved,Local Scheme,Plot 433
REG-PRO-344,Imran Chaudhry,Ayesha Sheikh,"House 40, F-7, Faisalabad",21322679,2020-07-03,14,Industrial,Allotment Letter,Approved,Clifton,Plot 364
REG-PRO-345,Hina Hassan,Sana Malik,"House 144, G-10, Karachi",25870474,2021-12-12,5,Industrial,Transfer Letter,Approved,PECHS,Plot 92
REG-PRO-346,Tariq Hassan,Imran Abbasi,"House 30, Hayatabad, Karachi",22743073,2019-04-25,14,Agricultural,Transfer Letter,Approved,Clifton,Plot 116
REG-PRO-347,Ali Khan,Muhammad Nawaz,"House 139, Hayatabad, Islamabad",17916987,2018-12-01,7,Commercial,Transfer Letter,Approved,F-7,Plot 207
REG-PRO-348,Nadia Baig,Saima Malik,"House 114, Johar Town, Peshawar",12832574,2026-07-04,14,Residential,Registry,Unapproved,Gulberg,Plot 301
REG-PRO-349,Fatima Khan,Hina Bibi,"House 117, Clifton, Islamabad",21635558,2020-06-21,7,Residential,Registry,Approved,Hayatabad,Plot 217
REG-PRO-350,Waseem Sheikh,Hamza Khan,"House 8, Pechs, Rawalpindi",14293081,2026-12-25,14,Agricultural,Transfer Letter,Approved,DHA,Plot 393
REG-PRO-351,Hamza Raza,Fatima Abbasi,"House 96, G-10, Karachi",24628526,2023-06-06,10,Industrial,File,Unapproved,F-7,Plot 440
REG-PRO-352,Ali Iqbal,Hina Butt,"House 108, Gulberg, Peshawar",16567048,2024-06-25,7,Commercial,Registry,Unapproved,DHA,Plot 93
REG-PRO-353,Amna Iqbal,Bilal Qureshi,"House 124, Nazimabad, Lahore",24805659,2020-12-18,5,Residential,Allotment Letter,Approved,Gulberg,Plot 369
REG-PRO-354,Zubair Javed,Ali Mirza,"House 45, F-7, Islamabad",22347257,2022-01-22,10,Residential,File,Pending,Local Scheme,Plot 196
REG-PRO-355,Hina Sheikh,Tariq Ahmed,"House 60, G-10, Peshawar",17969436,2018-05-18,7,Industrial,Allotment Letter,Unapproved,PECHS,Plot 135
REG-PRO-356,Muhammad Qureshi,Saima Nawaz,"House 40, F-7, Rawalpindi",4610285,2024-12-25,7,Agricultural,Transfer Letter,Approved,DHA,Plot 489
REG-PRO-357,Usman Hassan,Imran Abbasi,"House 109, Gulberg, Islamabad",25312714,2019-12-16,20,Industrial,Registry,Unapproved,Bahria Town,Plot 449
REG-PRO-358,Fatima Javed,Hamza Qureshi,"House 54, Hayatabad, Faisalabad",14502822,2026-02-06,14,Commercial,Registry,Pending,Local Scheme,Plot 84
REG-PRO-359,Ahmed Ahmed,Zainab Siddiqui,"House 34, Nazimabad, Rawalpindi",9727458,2018-09-26,10,Commercial,Transfer Letter,Approved,Local Scheme,Plot 274
REG-PRO-360,Zubair Iqbal,Zubair Raza,"House 80, Pechs, Faisalabad",24636399,2020-02-21,14,Industrial,Allotment Letter,Approved,Hayatabad,Plot 401
REG-PRO-361,Tariq Abbasi,Fatima Sheikh,"House 51, G-10, Islamabad",6818405,2024-12-13,7,Residential,Transfer Letter,Unapproved,Local Scheme,Plot 290
REG-PRO-362,Waseem Chaudhry,Sana Ahmed,"House 33, G-10, Islamabad",6147811,2021-01-17,7,Commercial,Transfer Letter,Unapproved,Clifton,Plot 397
REG-PRO-363,Saima Nawaz,Muhammad Nawaz,"House 38, Nazimabad, Rawalpindi",23747133,2021-11-27,10,Commercial,File,Approved,DHA,Plot 224
REG-PRO-364,Zubair Ahmed,Ayesha Chaudhry,"House 138, DHA, Islamabad",17868055,2022-02-06,7,Residential,Transfer Letter,Unapproved,Hayatabad,Plot 359
REG-PRO-365,Nadia Baig,Zubair Khan,"House 106, Nazimabad, Islamabad",18067733,2020-03-17,5,Residential,Transfer Letter,Unapproved,DHA,Plot 62
REG-PRO-366,Zubair Mirza,Hina Baig,"House 30, Johar Town, Faisalabad",25227049,2019-01-07,7,Residential,Allotment Letter,Pending,DHA,Plot 486
REG-PRO-367,Waseem Siddiqui,Usman Mirza,"House 103, F-7, Rawalpindi",12691094,2022-11-17,20,Agricultural,Allotment Letter,Approved,Gulberg,Plot 322
REG-PRO-368,Hamza Iqbal,Waseem Khan,"House 72, F-7, Peshawar",6151945,2019-04-12,5,Industrial,Transfer Letter,Pending,DHA,Plot 116
REG-PRO-369,Fatima Qureshi,Imran Baig,"House 13, Gulberg, Peshawar",16311260,2023-12-14,20,Industrial,Transfer Letter,Approved,DHA,Plot 176
REG-PRO-370,Hina Raza,Fatima Javed,"House 73, Gulberg, Peshawar",11655921,2018-12-27,7,Industrial,File,Pending,Clifton,Plot 116
REG-PRO-371,Amna Malik,Amna Siddiqui,"House 39, Nazimabad, Lahore",11769432,2019-12-15,20,Commercial,Allotment Letter,Approved,Local Scheme,Plot 162
REG-PRO-372,Tariq Khan,Ayesha Chaudhry,"House 89, F-7, Karachi",28656919,2025-06-01,10,Residential,Registry,Approved,DHA,Plot 219
REG-PRO-373,Ali Mirza,Nadia Rizvi,"House 15, Hayatabad, Faisalabad",23023352,2020-11-17,10,Industrial,Transfer Letter,Unapproved,Hayatabad,Plot 466
REG-PRO-374,Amna Qureshi,Saima Nawaz,"House 113, F-7, Faisalabad",5141711,2021-10-09,10,Commercial,Transfer Letter,Approved,Clifton,Plot 340
REG-PRO-375,Zainab Hassan,Bilal Mirza,"House 24, Nazimabad, Karachi",26990175,2021-07-05,14,Industrial,Registry,Approved,Bahria Town,Plot 226
REG-PRO-376,Usman Ahmed,Tariq Abbasi,"House 23, Gulberg, Karachi",12768774,2021-05-09,5,Commercial,Transfer Letter,Unapproved,Local Scheme,Plot 440
REG-PRO-377,Hina Raza,Tariq Khan,"House 57, DHA, Rawalpindi",20619801,2018-06-04,7,Agricultural,Registry,Approved,F-7,Plot 146
REG-PRO-378,Imran Iqbal,Imran Hassan,"House 84, Johar Town, Karachi",9646552,2024-09-06,20,Agricultural,Registry,Unapproved,Hayatabad,Plot 481
REG-PRO-379,Hamza Sheikh,Tariq Malik,"House 61, Johar Town, Rawalpindi",8216214,2021-08-01,10,Residential,Transfer Letter,Approved,Clifton,Plot 31
REG-PRO-380,Ahmed Raza,Usman Sheikh,"House 1, Bahria Town, Karachi",19151588,2021-12-27,5,Residential,Transfer Letter,Approved,DHA,Plot 469
REG-PRO-381,Ahmed Mirza,Zubair Mirza,"House 55, Johar Town, Rawalpindi",5086742,2020-02-10,7,Residential,Allotment Letter,Approved,PECHS,Plot 380
REG-PRO-382,Saima Bibi,Ali Bibi,"House 91, Bahria Town, Peshawar",13390973,2023-05-14,20,Commercial,Allotment Letter,Approved,Gulberg,Plot 169
REG-PRO-383,Bilal Butt,Imran Sheikh,"House 136, Nazimabad, Lahore",18875131,2019-07-22,10,Agricultural,Allotment Letter,Pending,Hayatabad,Plot 58
REG-PRO-384,Imran Mirza,Saima Qureshi,"House 3, Bahria Town, Lahore",16283268,2020-04-11,7,Agricultural,Allotment Letter,Pending,PECHS,Plot 181
REG-PRO-385,Ahmed Hassan,Zainab Javed,"House 57, Hayatabad, Lahore",19551403,2026-10-13,7,Commercial,Transfer Letter,Unapproved,Clifton,Plot 386
REG-PRO-386,Zainab Javed,Nadia Rizvi,"House 66, G-10, Karachi",14647750,2023-02-27,7,Industrial,Registry,Approved,Bahria Town,Plot 373
REG-PRO-387,Amna Baig,Imran Siddiqui,"House 16, Hayatabad, Rawalpindi",18061221,2023-10-08,20,Commercial,Transfer Letter,Approved,PECHS,Plot 5
REG-PRO-388,Ayesha Khan,Zubair Malik,"House 149, G-10, Rawalpindi",28081646,2020-09-02,5,Agricultural,Transfer Letter,Approved,Local Scheme,Plot 412
REG-PRO-389,Saima Butt,Amna Bibi,"House 140, Pechs, Faisalabad",17871331,2018-12-03,7,Residential,Registry,Pending,Gulberg,Plot 255
REG-PRO-390,Hina Nawaz,Tariq Malik,"House 9, Nazimabad, Lahore",22427734,2025-06-03,20,Industrial,Registry,Approved,Gulberg,Plot 205
REG-PRO-391,Ahmed Ahmed,Amna Sheikh,"House 53, Gulberg, Peshawar",4615454,2019-07-20,20,Commercial,Transfer Letter,Pending,PECHS,Plot 410
REG-PRO-392,Imran Bibi,Nadia Sheikh,"House 31, Bahria Town, Peshawar",19273324,2022-09-03,10,Agricultural,Allotment Letter,Approved,Local Scheme,Plot 158
REG-PRO-393,Hamza Malik,Muhammad Khan,"House 4, DHA, Karachi",8624576,2026-01-25,14,Residential,File,Pending,PECHS,Plot 183
REG-PRO-394,Waseem Butt,Zubair Abbasi,"House 43, G-10, Islamabad",4614066,2019-07-01,20,Industrial,File,Approved,Gulberg,Plot 483
REG-PRO-395,Ahmed Iqbal,Saima Raza,"House 128, Clifton, Lahore",17177448,2020-11-21,5,Commercial,Allotment Letter,Approved,Clifton,Plot 68
REG-PRO-396,Imran Abbasi,Muhammad Bibi,"House 31, G-10, Lahore",11738739,2022-04-11,14,Residential,File,Unapproved,PECHS,Plot 80
REG-PRO-397,Amna Ahmed,Saima Hassan,"House 9, Clifton, Faisalabad",24456906,2026-11-11,14,Commercial,Allotment Letter,Unapproved,Hayatabad,Plot 57
REG-PRO-398,Saima Khan,Hamza Ahmed,"House 36, Hayatabad, Islamabad",16202062,2024-02-16,20,Agricultural,File,Pending,PECHS,Plot 4
REG-PRO-399,Fatima Raza,Amna Hassan,"House 49, Johar Town, Lahore",13340020,2026-07-07,14,Residential,File,Unapproved,PECHS,Plot 68
REG-PRO-400,Waseem Siddiqui,Hamza Bibi,"House 120, DHA, Karachi",19512303,2023-07-20,20,Commercial,Registry,Pending,Local Scheme,Plot 4
REG-PRO-401,Nadia Javed,Sana Chaudhry,"House 29, F-7, Rawalpindi",5093061,2025-06-12,20,Agricultural,Allotment Letter,Pending,DHA,Plot 211
REG-PRO-402,Ahmed Sheikh,Zubair Qureshi,"House 58, Hayatabad, Faisalabad",27294259,2022-07-08,20,Commercial,Allotment Letter,Approved,PECHS,Plot 397
REG-PRO-403,Bilal Abbasi,Hina Javed,"House 118, Pechs, Karachi",27758359,2019-02-23,7,Agricultural,Transfer Letter,Unapproved,PECHS,Plot 386
REG-PRO-404,Saima Khan,Ayesha Sheikh,"House 28, Johar Town, Peshawar",17985169,2021-08-27,20,Residential,Transfer Letter,Approved,PECHS,Plot 435
REG-PRO-405,Imran Javed,Hamza Bibi,"House 38, Gulberg, Islamabad",28315205,2019-02-23,5,Commercial,File,Approved,Gulberg,Plot 431
REG-PRO-406,Sana Abbasi,Hamza Raza,"House 2, Bahria Town, Islamabad",12887987,2025-10-12,14,Commercial,Allotment Letter,Approved,PECHS,Plot 44
REG-PRO-407,Saima Siddiqui,Tariq Butt,"House 97, Johar Town, Faisalabad",4094395,2023-03-27,5,Commercial,Registry,Approved,Hayatabad,Plot 435
REG-PRO-408,Hamza Butt,Nadia Javed,"House 117, Clifton, Lahore",12108998,2021-11-20,10,Agricultural,Transfer Letter,Approved,Gulberg,Plot 482
REG-PRO-409,Bilal Javed,Hamza Khan,"House 113, Nazimabad, Islamabad",8420159,2021-01-08,10,Agricultural,Transfer Letter,Approved,Hayatabad,Plot 70
