meter_ref_no,consumer_name,installation_address,avg_monthly_bill_pkr,connection_type
MTR-EX4000,Sobia Javed,"House 63, Gulberg, Gujranwala",35968,Domestic
MTR-EX4001,Usman Bibi,"House 130, DHA, Lahore",13138,Domestic
MTR-EX4002,Muhammad Hassan,"House 179, Johar Town, Rawalpindi",47848,Domestic
MTR-EX4003,Saima Bhatti,"House 68, Gulberg, Karachi",48641,Domestic
MTR-EX4004,Usman Malik,"House 12, Hayatabad, Gujranwala",23853,Domestic
MTR-EX4005,Zainab Chaudhry,"House 91, Johar Town, Peshawar",32338,Domestic
MTR-EX4006,Zainab Mirza,"House 98, Satellite Town, Sialkot",16755,Domestic
MTR-EX4007,Ahmed Siddiqui,"House 146, Pechs, Faisalabad",37236,Domestic
MTR-EX4008,Sobia Rizvi,"House 138, Bahria Town, Peshawar",50078,Domestic
MTR-EX4009,Ali Ahmed,"House 40, Johar Town, Sialkot",47256,Domestic
MTR-EX4010,Muhammad Ahmed,"House 175, F-7, Sialkot",21039,Domestic
MTR-EX4011,Sobia Javed,"House 129, Johar Town, Islamabad",6864,Domestic
MTR-EX4012,Waseem Khan,"House 154, G-10, Islamabad",12822,Domestic
MTR-EX4013,Kashif Malik,"House 22, DHA, Rawalpindi",55116,Domestic
MTR-EX4014,Waseem Bhatti,"House 109, Bahria Town, Sialkot",23167,Domestic
MTR-EX4015,Hamza Malik,"House 87, Nazimabad, Quetta",37312,Domestic
MTR-EX4016,Imran Malik,"House 132, Gulberg, Rawalpindi",9372,Domestic
MTR-EX4017,Usman Ahmed,"House 25, Cantt, Rawalpindi",44248,Domestic
MTR-EX4018,Tariq Butt,"House 28, Model Town, Gujranwala",53861,Domestic
MTR-EX4019,Ahmed Mirza,"House 141, F-7, Islamabad",28708,Domestic
MTR-EX4020,Tariq Sheikh,"House 43, Pechs, Islamabad",43080,Domestic
MTR-EX4021,Amna Nawaz,"House 40, Pechs, Peshawar",36489,Domestic
MTR-EX4022,Ali Soomro,"House 123, G-10, Sukkur",42065,Domestic
MTR-EX4023,Farah Bibi,"House 104, Hayatabad, Karachi",33578,Domestic
MTR-EX4024,Imran Javed,"House 53, Model Town, Multan",21902,Domestic
MTR-EX4025,Muhammad Mirza,"House 160, G-10, Quetta",46156,Domestic
MTR-EX4026,Hamza Chaudhry,"House 73, G-10, Islamabad",49951,Domestic
MTR-EX4027,Farah Ahmed,"House 35, Garden Town, Gujranwala",36197,Domestic
MTR-EX4028,Farah Javed,"House 130, Clifton, Hyderabad",50498,Domestic
MTR-EX4029,Imran Raza,"House 164, DHA, Peshawar",58626,Domestic
MTR-EX4030,Amna Sheikh,"House 95, Gulberg, Karachi",12837,Domestic
MTR-EX4031,Saima Siddiqui,"House 175, Cantt, Faisalabad",29458,Domestic
MTR-EX4032,Zainab Baig,"House 7, Garden Town, Rawalpindi",38588,Domestic
MTR-EX4033,Hina Bibi,"House 52, Garden Town, Multan",53035,Domestic
MTR-EX4034,Ahmed Javed,"House 90, G-10, Multan",42700,Domestic
MTR-EX4035,Ali Ahmed,"House 153, Hayatabad, Islamabad",6149,Domestic
MTR-EX4036,Bilal Sheikh,"House 182, Hayatabad, Multan",22009,Domestic
MTR-EX4037,Farah Butt,"House 160, Pechs, Faisalabad",15672,Domestic
MTR-EX4038,Ayesha Siddiqui,"House 108, Pechs, Faisalabad",43119,Domestic
MTR-EX4039,Nadia Soomro,"House 156, F-7, Peshawar",8834,Domestic
MTR-EX4040,Waseem Bhatti,"House 86, Bahria Town, Sukkur",14577,Domestic
MTR-EX4041,Hina Bhatti,"House 197, DHA, Lahore",25950,Domestic
MTR-EX4042,Ayesha Khan,"House 193, Pechs, Quetta",35214,Domestic
MTR-EX4043,Fatima Mirza,"House 35, Nazimabad, Lahore",50434,Domestic
MTR-EX4044,Nadia Rizvi,"House 115, Garden Town, Hyderabad",13879,Domestic
MTR-EX4045,Hina Bibi,"House 71, F-7, Gujranwala",28421,Domestic
MTR-EX4046,Ayesha Raza,"House 60, Nazimabad, Faisalabad",15702,Domestic
MTR-EX4047,Nadia Qureshi,"House 198, Johar Town, Sialkot",8466,Domestic
MTR-EX4048,Nadia Rizvi,"House 192, Cantt, Peshawar",22869,Domestic
MTR-EX4049,Farah Qureshi,"House 186, DHA, Quetta",28669,Domestic
MTR-EX4050,Ahmed Baig,"House 35, Hayatabad, Multan",32493,Domestic
MTR-EX4051,Imran Qureshi,"House 72, Johar Town, Rawalpindi",46697,Domestic
MTR-EX4052,Asad Sheikh,"House 194, Clifton, Faisalabad",28329,Domestic
MTR-EX4053,Usman Mirza,"House 180, Johar Town, Islamabad",8192,Domestic
MTR-EX4054,Kashif Khan,"House 80, F-7, Islamabad",23996,Domestic
MTR-EX4055,Farah Bhatti,"House 31, Satellite Town, Karachi",24114,Domestic
MTR-EX4056,Nadia Nawaz,"House 28, Nazimabad, Karachi",39708,Domestic
MTR-EX4057,Amna Nawaz,"House 120, Nazimabad, Sukkur",46873,Domestic
