vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address,import_type,declared_import_value_pkr
REG-4255-0,Sobia Javed,1500,Toyota Yaris,2020,"House 63, Gulberg, Gujranwala",Local,0
REG-4866-2,Muhammad Hassan,1000,Suzuki WagonR,2025,"House 179, Johar Town, Rawalpindi",Imported,0
REG-5523-3,Saima Bhatti,1300,Toyota Corolla,2024,"House 68, Gulberg, Karachi",Local,0
REG-1146-4,Usman Malik,1300,Honda City,2015,"House 12, Hayatabad, Gujranwala",Imported,0
REG-7084-5,Zainab Chaudhry,1300,Toyota Corolla,2016,"House 91, Johar Town, Peshawar",Local,0
REG-6544-6,Zainab Mirza,1000,Suzuki WagonR,2025,"House 98, Satellite Town, Sialkot",Local,0
REG-9787-7,Ahmed Siddiqui,1300,Toyota Corolla,2016,"House 146, Pechs, Faisalabad",Local,0
REG-6690-8,Sobia Rizvi,1800,Honda Civic,2022,"House 138, Bahria Town, Peshawar",Local,0
REG-6868-9,Ali Ahmed,1800,Toyota Corolla Grande,2026,"House 40, Johar Town, Sialkot",Local,0
REG-8951-10,Muhammad Ahmed,660,Suzuki Alto,2026,"House 175, F-7, Sialkot",Imported,0
REG-9029-11,Sobia Javed,2700,Toyota Fortuner,2018,"House 129, Johar Town, Islamabad",Local,0
REG-8674-12,Waseem Khan,1800,Honda Civic,2019,"House 154, G-10, Islamabad",Local,0
REG-8362-13,Kashif Malik,1300,Toyota Corolla,2019,"House 22, DHA, Rawalpindi",Local,0
REG-1011-14,Waseem Bhatti,2000,Toyota Prado,2025,"House 109, Bahria Town, Sialkot",Imported,0
REG-4912-17,Usman Ahmed,1800,Honda Civic,2020,"House 25, Cantt, Rawalpindi",Local,0
REG-7348-18,Tariq Butt,2700,Toyota Fortuner,2018,"House 28, Model Town, Gujranwala",Imported,0
REG-6285-20,Tariq Sheikh,1500,Toyota Yaris,2021,"House 43, Pechs, Islamabad",Local,0
REG-2092-21,Amna Nawaz,2700,Toyota Fortuner,2015,"House 40, Pechs, Peshawar",Local,0
REG-4310-22,Ali Soomro,660,Suzuki Alto,2016,"House 123, G-10, Sukkur",Imported,0
REG-7366-23,Farah Bibi,660,Suzuki Alto,2025,"House 104, Hayatabad, Karachi",Imported,0
REG-5193-24,Imran Javed,3000,Toyota Land Cruiser,2015,"House 53, Model Town, Multan",Local,0
REG-1214-25,Muhammad Mirza,1000,Suzuki WagonR,2018,"House 160, G-10, Quetta",Imported,0
REG-6913-28,Farah Javed,660,Suzuki Alto,2023,"House 130, Clifton, Hyderabad",Imported,0
REG-5355-31,Saima Siddiqui,3000,Toyota Land Cruiser,2023,"House 175, Cantt, Faisalabad",Local,0
