fbr_id,full_name,declared_income_pkr,tax_paid_pkr,filer_status,reported_address,phone_number,income_source,wealth_source,occupation,years_as_nonfiler,has_bank_account
FBR-5000,Sobia Javed,0,0,Non-ATL,"House 63, Gulberg, Gujranwala",0324-3341057,Salary,Prize Bond,Teacher,4,False
FBR-5001,Usman Bibi,0,0,Non-ATL,"House 130, DHA, Lahore",0348-1445199,Prize Bond,Gift,Lawyer,5,False
FBR-5002,Muhammad Hassan,1800000,180000,Non-ATL,"House 179, Johar Town, Rawalpindi",0337-6708456,Agriculture,Gift,Driver,6,True
FBR-5003,Saima Bhatti,960000,96000,Non-ATL,"House 68, Gulberg, Karachi",0312-8707870,Prize Bond,Savings,Housewife,0,True
FBR-5004,Usman Malik,5000000,500000,ATL,"House 12, Hayatabad, Gujranwala",0324-5855124,Salary,Gift,Teacher,0,False
FBR-5005,Zainab Chaudhry,3000000,300000,ATL,"House 91, Johar Town, Peshawar",0323-5479144,Salary,Prize Bond,Shopkeeper,0,True
FBR-5006,Zainab Mirza,240000,24000,Non-ATL,"House 98, Satellite Town, Sialkot",0327-4684531,Agriculture,Savings,Driver,6,True
FBR-5007,Ahmed Siddiqui,480000,48000,Non-ATL,"House 146, Pechs, Faisalabad",0330-4567281,Rental,Cash,Shopkeeper,3,True
FBR-5008,Sobia Rizvi,240000,24000,Non-ATL,"House 138, Bahria Town, Peshawar",0326-8187926,Prize Bond,Cash,Unemployed,1,True
FBR-5009,Ali Ahmed,0,0,Non-ATL,"House 40, Johar Town, Sialkot",0320-8082668,Prize Bond,Savings,Housewife,3,False
FBR-5010,Muhammad Ahmed,1800000,180000,ATL,"House 175, F-7, Sialkot",0344-5476583,Agriculture,Savings,Businessman,0,False
FBR-5011,Sobia Javed,0,0,Non-ATL,"House 129, Johar Town, Islamabad",0321-9517485,Salary,Foreign Remittance,Shopkeeper,4,True
FBR-5012,Waseem Khan,5000000,500000,Non-ATL,"House 154, G-10, Islamabad",0330-9197443,Salary,Savings,Unemployed,6,True
FBR-5013,Kashif Malik,240000,24000,Non-ATL,"House 22, DHA, Rawalpindi",0341-2161193,Prize Bond,Gift,Doctor,5,False
FBR-5014,Waseem Bhatti,480000,48000,Non-ATL,"House 109, Bahria Town, Sialkot",0323-4374754,Agriculture,Cash,Shopkeeper,5,True
FBR-5015,Hamza Malik,960000,96000,Non-ATL,"House 87, Nazimabad, Quetta",0311-4860684,Prize Bond,Gift,Engineer,0,True
FBR-5016,Imran Malik,0,0,Non-ATL,"House 132, Gulberg, Rawalpindi",0325-5672073,Rental,Gift,Retired,1,False
FBR-5017,Usman Ahmed,960000,96000,ATL,"House 25, Cantt, Rawalpindi",0337-6944126,Rental,Cash,Student,0,True
FBR-5018,Tariq Butt,3000000,300000,Non-ATL,"House 28, Model Town, Gujranwala",0325-4214348,Business,Prize Bond,Student,1,False
FBR-5019,Ahmed Mirza,960000,96000,Non-ATL,"House 141, F-7, Islamabad",0316-1848731,Prize Bond,Savings,Teacher,6,True
FBR-5020,Tariq Sheikh,960000,96000,ATL,"House 43, Pechs, Islamabad",0334-1036161,Rental,Foreign Remittance,Accountant,0,False
FBR-5021,Amna Nawaz,3000000,300000,ATL,"House 40, Pechs, Peshawar",0322-5977931,Business,Savings,Clerk,0,True
FBR-5022,Ali Soomro,0,0,Non-ATL,"House 123, G-10, Sukkur",0342-9910817,Business,Savings,Retired,0,True
FBR-5023,Farah Bibi,0,0,Non-ATL,"House 104, Hayatabad, Karachi",0317-5130808,Prize Bond,Prize Bond,Engineer,4,True
FBR-5024,Imran Javed,1800000,180000,ATL,"House 53, Model Town, Multan",0330-5004485,Agriculture,Cash,Doctor,0,True
FBR-5025,Muhammad Mirza,5000000,500000,ATL,"House 160, G-10, Quetta",0346-2677407,Salary,Prize Bond,Driver,0,True
FBR-5026,Hamza Chaudhry,0,0,Non-ATL,"House 73, G-10, Islamabad",0320-8351517,Prize Bond,Foreign Remittance,Clerk,6,True
FBR-5027,Farah Ahmed,1800000,180000,Non-ATL,"House 35, Garden Town, Gujranwala",0326-2936571,Salary,Prize Bond,Doctor,2,True
FBR-5028,Farah Javed,3000000,300000,ATL,"House 130, Clifton, Hyderabad",0341-5213115,Salary,Savings,Shopkeeper,0,False
FBR-5029,Imran Raza,0,0,Non-ATL,"House 164, DHA, Peshawar",0326-3710895,Rental,Prize Bond,Lawyer,3,True
FBR-5030,Amna Sheikh,3000000,300000,ATL,"House 95, Gulberg, Karachi",0347-3484601,Rental,Gift,Engineer,0,True
FBR-5031,Saima Siddiqui,5000000,500000,Non-ATL,"House 175, Cantt, Faisalabad",0325-2724590,Agriculture,Prize Bond,Housewife,4,True
FBR-5032,Zainab Baig,240000,24000,Non-ATL,"House 7, Garden Town, Rawalpindi",0321-6573147,Rental,Gift,Businessman,1,True
FBR-5033,Hina Bibi,0,0,Non-ATL,"House 52, Garden Town, Multan",0339-6866294,Agriculture,Gift,Driver,0,True
FBR-5034,Ahmed Javed,480000,48000,Non-ATL,"House 90, G-10, Multan",0342-7705490,Prize Bond,Foreign Remittance,Engineer,0,True
FBR-5035,Ali Ahmed,480000,48000,Non-ATL,"House 153, Hayatabad, Islamabad",0337-6799667,Agriculture,Cash,Clerk,4,True
FBR-5036,Bilal Sheikh,240000,24000,Non-ATL,"House 182, Hayatabad, Multan",0337-1028374,Prize Bond,Prize Bond,Shopkeeper,5,True
FBR-5037,Farah Butt,0,0,Non-ATL,"House 160, Pechs, Faisalabad",0330-3090865,Agriculture,Prize Bond,Businessman,5,False
FBR-5038,Ayesha Siddiqui,3000000,300000,Non-ATL,"House 108, Pechs, Faisalabad",0334-3919694,Prize Bond,Prize Bond,Businessman,3,True
FBR-5039,Nadia Soomro,240000,24000,Non-ATL,"House 156, F-7, Peshawar",0330-8801207,Rental,Cash,Shopkeeper,1,False
FBR-5040,Waseem Bhatti,3000000,300000,Non-ATL,"House 86, Bahria Town, Sukkur",0315-4940441,Agriculture,Gift,Accountant,1,True
FBR-5041,Hina Bhatti,240000,24000,Non-ATL,"House 197, DHA, Lahore",0314-8640615,Rental,Prize Bond,Driver,5,False
FBR-5042,Ayesha Khan,240000,24000,Non-ATL,"House 193, Pechs, Quetta",0316-8132769,Business,Gift,Accountant,5,False
FBR-5043,Fatima Mirza,240000,24000,Non-ATL,"House 35, Nazimabad, Lahore",0339-9910914,Prize Bond,Prize Bond,Unemployed,6,False
FBR-5044,Nadia Rizvi,3000000,300000,ATL,"House 115, Garden Town, Hyderabad",0320-8963715,Rental,Foreign Remittance,Accountant,0,True
FBR-5045,Hina Bibi,5000000,500000,ATL,"House 71, F-7, Gujranwala",0338-2299954,Agriculture,Gift,Businessman,0,True
FBR-5046,Ayesha Raza,0,0,Non-ATL,"House 60, Nazimabad, Faisalabad",0334-3563646,Business,Savings,Housewife,3,True
FBR-5047,Nadia Qureshi,960000,96000,Non-ATL,"House 198, Johar Town, Sialkot",0347-1327691,Prize Bond,Cash,Student,0,True
FBR-5048,Nadia Rizvi,960000,96000,ATL,"House 192, Cantt, Peshawar",0344-4700025,Rental,Gift,Businessman,0,False
FBR-5049,Farah Qureshi,960000,96000,ATL,"House 186, DHA, Quetta",0320-8841505,Business,Prize Bond,Retired,0,True
FBR-5050,Ahmed Baig,1800000,180000,ATL,"House 35, Hayatabad, Multan",0339-4048907,Salary,Foreign Remittance,Housewife,0,True
FBR-5051,Imran Qureshi,480000,48000,Non-ATL,"House 72, Johar Town, Rawalpindi",0336-5232413,Salary,Cash,Engineer,5,True
FBR-5052,Asad Sheikh,3000000,300000,Non-ATL,"House 194, Clifton, Faisalabad",0311-5148725,Business,Savings,Clerk,1,True
FBR-5053,Usman Mirza,3000000,300000,Non-ATL,"House 180, Johar Town, Islamabad",0326-7189034,Business,Prize Bond,Clerk,5,True
FBR-5054,Kashif Khan,0,0,Non-ATL,"House 80, F-7, Islamabad",0346-7296605,Rental,Gift,Teacher,4,True
FBR-5055,Farah Bhatti,5000000,500000,ATL,"House 31, Satellite Town, Karachi",0346-1689025,Agriculture,Prize Bond,Housewife,0,True
FBR-5056,Nadia Nawaz,3000000,300000,ATL,"House 28, Nazimabad, Karachi",0337-7076506,Rental,Gift,Housewife,0,True
FBR-5057,Amna Nawaz,3000000,300000,Non-ATL,"House 120, Nazimabad, Sukkur",0337-5502929,Agriculture,Gift,Teacher,2,False
FBR-5058,Farah Qureshi,960000,96000,ATL,"House 87, Cantt, Rawalpindi",0311-9293086,Agriculture,Gift,Student,0,True
FBR-5059,Imran Javed,480000,48000,Non-ATL,"House 153, Cantt, Faisalabad",0327-1170307,Prize Bond,Gift,Teacher,1,False
FBR-5060,Hina Nawaz,5000000,500000,Non-ATL,"House 115, Nazimabad, Quetta",0311-2561176,Agriculture,Gift,Housewife,5,True
FBR-5061,Amna Abbasi,1800000,180000,ATL,"House 89, Model Town, Peshawar",0337-6549757,Agriculture,Cash,Businessman,0,True
FBR-5062,Sobia Siddiqui,0,0,Non-ATL,"House 81, Clifton, Peshawar",0317-9990305,Business,Gift,Driver,5,False
FBR-5063,Waseem Bhatti,1800000,180000,ATL,"House 73, Satellite Town, Peshawar",0316-4256752,Agriculture,Gift,Unemployed,0,True
FBR-5064,Bilal Sheikh,3000000,300000,ATL,"House 14, DHA, Peshawar",0345-5901239,Business,Cash,Teacher,0,True
FBR-5065,Imran Hassan,960000,96000,ATL,"House 14, F-7, Hyderabad",0326-9014965,Salary,Savings,Housewife,0,False
FBR-5066,Ayesha Raza,3000000,300000,ATL,"House 145, Hayatabad, Karachi",0329-2429098,Business,Savings,Retired,0,False
FBR-5067,Waseem Qureshi,5000000,500000,ATL,"House 116, Hayatabad, Hyderabad",0338-5988757,Prize Bond,Cash,Businessman,0,True
FBR-5068,Usman Siddiqui,0,0,Non-ATL,"House 68, Satellite Town, Hyderabad",0315-3634980,Business,Gift,Retired,0,True
FBR-5069,Hina Iqbal,960000,96000,ATL,"House 9, Pechs, Lahore",0324-5833597,Agriculture,Cash,Teacher,0,True
FBR-5070,Farah Siddiqui,5000000,500000,ATL,"House 109, Cantt, Peshawar",0317-4771676,Business,Foreign Remittance,Doctor,0,True
FBR-5071,Sobia Soomro,5000000,500000,ATL,"House 74, Bahria Town, Lahore",0338-3086308,Rental,Foreign Remittance,Lawyer,0,False
FBR-5072,Ahmed Bhatti,1800000,180000,ATL,"House 11, Nazimabad, Peshawar",0337-6407658,Prize Bond,Foreign Remittance,Engineer,0,True
FBR-5073,Kashif Khan,5000000,500000,ATL,"House 196, Model Town, Rawalpindi",0327-1674975,Business,Cash,Retired,0,False
FBR-5074,Hina Malik,1800000,180000,ATL,"House 121, Bahria Town, Peshawar",0332-7850944,Agriculture,Foreign Remittance,Shopkeeper,0,True
FBR-5075,Sana Qureshi,960000,96000,ATL,"House 195, G-10, Islamabad",0345-1615675,Rental,Savings,Unemployed,0,True
FBR-5076,Waseem Khan,5000000,500000,ATL,"House 169, Gulberg, Faisalabad",0344-8750676,Rental,Savings,Driver,0,True
FBR-5077,Ali Siddiqui,960000,96000,ATL,"House 69, Cantt, Hyderabad",0345-3198037,Agriculture,Cash,Lawyer,0,False
FBR-5078,Hamza Hassan,3000000,300000,ATL,"House 80, DHA, Karachi",0345-1229419,Prize Bond,Cash,Teacher,0,True
FBR-5079,Asad Raza,0,0,Non-ATL,"House 128, Johar Town, Karachi",0328-9537455,Agriculture,Cash,Student,3,True
FBR-5080,Tariq Siddiqui,240000,24000,Non-ATL,"House 154, Nazimabad, Quetta",0342-3290229,Salary,Foreign Remittance,Accountant,6,False
FBR-5081,Muhammad Iqbal,1800000,180000,Non-ATL,"House 186, Cantt, Faisalabad",0329-9214801,Business,Cash,Retired,3,True
FBR-5082,Zubair Butt,5000000,500000,ATL,"House 49, Nazimabad, Faisalabad",0325-7425184,Business,Cash,Engineer,0,True
FBR-5083,Tariq Qureshi,3000000,300000,ATL,"House 170, Johar Town, Sukkur",0319-9310235,Salary,Gift,Retired,0,True
FBR-5084,Waseem Mirza,5000000,500000,ATL,"House 4, Garden Town, Karachi",0319-7878299,Business,Savings,Student,0,True
FBR-5085,Ahmed Butt,3000000,300000,ATL,"House 173, Hayatabad, Faisalabad",0344-7375499,Agriculture,Cash,Retired,0,True
FBR-5086,Asad Iqbal,240000,24000,Non-ATL,"House 59, Gulberg, Hyderabad",0315-8280833,Salary,Savings,Student,1,True
FBR-5087,Ali Iqbal,480000,48000,Non-ATL,"House 92, DHA, Lahore",0333-8225725,Business,Gift,Retired,3,True
FBR-5088,Rabia Qureshi,0,0,Non-ATL,"House 159, Bahria Town, Islamabad",0325-9349470,Prize Bond,Gift,Driver,3,True
FBR-5089,Zubair Iqbal,3000000,300000,Non-ATL,"House 174, F-7, Quetta",0344-3650391,Salary,Cash,Unemployed,4,True
FBR-5090,Sana Siddiqui,3000000,300000,Non-ATL,"House 99, Pechs, Gujranwala",0340-2789344,Business,Cash,Clerk,2,True
FBR-5091,Farah Qureshi,0,0,Non-ATL,"House 71, F-7, Sukkur",0310-1822825,Prize Bond,Cash,Businessman,6,True
FBR-5092,Hamza Siddiqui,480000,48000,Non-ATL,"House 159, Cantt, Hyderabad",0326-3294774,Salary,Savings,Businessman,6,False
FBR-5093,Sobia Raza,480000,48000,Non-ATL,"House 24, Hayatabad, Lahore",0328-6481437,Rental,Gift,Driver,1,True
FBR-5094,Zainab Javed,480000,48000,Non-ATL,"House 124, Nazimabad, Sialkot",0328-6682698,Salary,Cash,Teacher,1,True
FBR-5095,Amna Chaudhry,3000000,300000,ATL,"House 24, Satellite Town, Gujranwala",0335-1233516,Agriculture,Prize Bond,Teacher,0,False
FBR-5096,Kashif Qureshi,3000000,300000,ATL,"House 164, Model Town, Faisalabad",0333-2817745,Business,Cash,Engineer,0,True
FBR-5097,Zubair Iqbal,3000000,300000,Non-ATL,"House 167, Clifton, Hyderabad",0336-2957497,Business,Savings,Engineer,2,False
