master_person_id,full_name,city,reported_address,address_id,phone_number,declared_income_pkr,tax_paid_pkr,filer_status,occupation,income_source,wealth_source,years_as_nonfiler,has_bank_account,fbr_id,vehicle_count,max_vehicle_cc,vehicle_make_model,import_type,declared_import_value_pkr,vehicle_registration_year,property_count,total_property_value,area_marla,registry_type,registry_no,noc_status,transfer_count,years_active,property_transfer_year,buyer_name,avg_monthly_bill_pkr,annual_utility_bill
PK-0000,Bilal Ahmed,Lahore,"House 10, Gulberg, Lahore",UNKNOWN,0316-2458591,0.0,0.0,Non-ATL,Student,Cash,Cash,5,False,FBR-8001,1,1800.0,Honda Civic,Local,0.0,2021,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,115093.0,1381116.0
PK-0001,Fatima Raza,Lahore,"House 10, Gulberg, Lahore",UNKNOWN,0311-2571945,0.0,0.0,Non-ATL,Driver,Cash,Cash,3,False,FBR-8002,0,0.0,None,Local,0.0,2020,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,88675.0,1064100.0
PK-0002,Hassan Ali,Lahore,"House 29, DHA, Lahore",UNKNOWN,0300-1234567,1800000.0,24446.0,ATL,Businessman,Salary,Savings,0,True,FBR-8003,0,0.0,None,Local,0.0,2020,1,9172150.0,5.0,File,N/A,Approved,1,2,2025,N/A,18826.0,225912.0
PK-0003,Zara Malik,Lahore,"House 18, DHA, Lahore",UNKNOWN,0300-1234567,1800000.0,32298.0,ATL,Engineer,Salary,Savings,0,True,FBR-8004,0,0.0,None,Local,0.0,2020,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,42170.0,506040.0
PK-0004,Omar Farooq,Lahore,"House 25, Gulberg, Lahore",UNKNOWN,0300-1234567,1200000.0,16078.0,ATL,Engineer,Salary,Savings,0,True,FBR-8005,1,1300.0,Toyota Corolla,Local,0.0,2021,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,121245.0,1454940.0
PK-0005,Sana Khan,Rawalpindi,"House 59, Bahria Town, Rawalpindi",UNKNOWN,0344-3094235,960000.0,18223.0,Non-ATL,Teacher,Business,Savings,0,True,FBR-8006,1,2000.0,Toyota Prado,Imported,617310.0,2021,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,18934.0,227208.0
PK-0006,Usman Chaudhry,Rawalpindi,"House 99, F-7, Rawalpindi",UNKNOWN,0328-2338687,480000.0,5750.0,ATL,Teacher,Salary,Savings,2,True,FBR-8007,1,660.0,Suzuki Alto,Local,0.0,2023,1,12853335.0,5.0,File,N/A,Pending,1,2,2025,N/A,47954.0,575448.0
PK-0007,Sardar Kamran,Lahore,"Plot 7, DHA Phase 8, Lahore",UNKNOWN,0300-9998882,0.0,0.0,Non-ATL,Unemployed,,Cash,8,False,FBR-8008,1,3000.0,Porsche Cayenne,Local,0.0,2025,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,350000.0,4200000.0
PK-0008,Javed Afridi,Peshawar,"Phase 6, Hayatabad, Peshawar",UNKNOWN,0345-7778890,1000000.0,50000.0,ATL,Importer,Business,Foreign Remittance,0,True,FBR-8009,1,3500.0,Toyota Land Cruiser,Regular Import,50000.0,2025,1,22000000.0,10.0,Registry,N/A,Approved,1,2,2025,N/A,85000.0,1020000.0
PK-0009,Ali Raza,Islamabad,"Flat 4, Block D, I-8, Islamabad",UNKNOWN,0322-7776665,1800000.0,180000.0,ATL,Engineer,Salary,Savings,0,True,FBR-4412,1,660.0,Suzuki Alto,Local,850000.0,2021,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,8000.0,96000.0
PK-0010,Ch. Muhammad Arshad,Lahore,"Plot 14, DHA Phase 6, Lahore",UNKNOWN,0300-1112223,0.0,0.0,Non-ATL,Businessman,Cash,Cash,5,False,FBR-7712,1,3000.0,Toyota Land Cruiser,Baggage Scheme,20000.0,2025,1,2500000.0,20.0,File,N/A,Approved,1,2,2025,N/A,280000.0,3360000.0
PK-0011,Farhan Ahmed,Lahore,"House 5, Street 2, Gulberg III, Lahore",UNKNOWN,0300-0000001,0.0,0.0,Non-ATL,Businessman,Cash,Cash,4,False,FBR-9012,1,2700.0,Toyota Fortuner,Local,0.0,2024,1,80000000.0,20.0,Registry,N/A,Approved,1,2,2025,N/A,120000.0,1440000.0
PK-0012,Ayesha Siddiqui,Lahore,"House 10, Gulberg, Lahore",UNKNOWN,0311-5614226,0.0,0.0,Non-ATL,Driver,Cash,Cash,3,False,FBR-8000,0,0.0,None,Local,0.0,2020,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,132581.0,1590972.0
PK-0013,Zahid Mahmood,Lahore,"House 12, Street 4, DHA Phase 5, Lahore",UNKNOWN,,0.0,0.0,Non-ATL,,,,0,False,,1,1800.0,Honda Civic,Local,0.0,2023,3,75000000.0,30.0,File,N/A,Approved,3,2,2025,N/A,85000.0,1020000.0
PK-0014,Dr. Salman Raza,Islamabad,"House 45, Sector F-8, Islamabad",UNKNOWN,,0.0,0.0,Non-ATL,,,,0,False,,1,1500.0,Toyota Yaris,Local,0.0,2021,1,45000000.0,20.0,Registry,N/A,Approved,1,2,2025,N/A,45000.0,540000.0
PK-0015,Shazia Bibi,Lahore,"Servant Quarter, House 9, Gulberg, Lahore",UNKNOWN,,0.0,0.0,Non-ATL,,,,0,False,,1,3000.0,Toyota Land Cruiser,Local,0.0,2025,1,5000000.0,20.0,Registry,N/A,Approved,1,2,2025,N/A,152000.0,1824000.0
PK-0016,Kamran Sheikh,Karachi,"Plot 88, Clifton Block 4, Karachi",UNKNOWN,,0.0,0.0,Non-ATL,,,,0,False,,2,2700.0,Toyota Fortuner,Baggage Scheme,95000.0,2025,1,150000000.0,40.0,Registry,N/A,Approved,1,2,2025,N/A,210000.0,2520000.0
PK-0017,Tariq Qureshi,Rawalpindi,"Villa 5, Bahria Town Phase 8, Rawalpindi",UNKNOWN,,0.0,0.0,Non-ATL,,,,0,False,,1,1800.0,Toyota Corolla Grande,Local,0.0,2022,1,35000000.0,10.0,Registry,N/A,Approved,1,2,2025,N/A,180000.0,2160000.0
PK-0018,Amna Qureshi,Rawalpindi,"Villa 5, Bahria Town Phase 8, Rawalpindi",UNKNOWN,,0.0,0.0,Non-ATL,,,,0,False,,1,1300.0,Honda City,Local,0.0,2020,0,0.0,0.0,None,N/A,Approved,0,2,2020,N/A,0.0,0.0
PK-0019,Waqas Ali,Islamabad,"House 10, G-11, Islamabad",UNKNOWN,,0.0,0.0,Non-ATL,,,,0,False,,1,1000.0,Suzuki Cultus,Local,0.0,2019,1,18000000.0,8.0,Registry,N/A,Approved,1,2,2025,N/A,30000.0,360000.0
PK-0020,,Lahore,,UNKNOWN,,0.0,0.0,Non-ATL,,,,0,True,,0,0.0,None,Local,0.0,2020,1,0.0,0.0,,N/A,Approved,1,2,2025,N/A,0.0,0.0
