master_person_id,full_name,city,reported_address,address_id,phone_number,declared_income_pkr,tax_paid_pkr,filer_status,occupation,income_source,wealth_source,years_as_nonfiler,has_bank_account,fbr_id,vehicle_count,max_vehicle_cc,vehicle_make_model,import_type,declared_import_value_pkr,vehicle_registration_year,property_count,total_property_value,area_marla,registry_type,registry_no,noc_status,transfer_count,years_active,property_transfer_year,buyer_name,avg_monthly_bill_pkr,annual_utility_bill,total_asset_value,deviation_score,risk_category,top_risk_factor,total_assets_val
PK-0000,Ch. Muhammad Arshad,Lahore,"Plot 14, DHA Phase 6, Lahore",UNKNOWN,0300-1112223,0.0,0.0,Non-ATL,Businessman,Cash,Cash,5,False,FBR-7712,1,3000.0,Toyota Land Cruiser,Baggage Scheme,20000.0,2025,1,2500000.0,20.0,File,,Approved,1,2,2025,,280000.0,3360000.0,17500000.0,89.1,CRITICAL,"Dc Underinvoicing, Vehicle Underinvoicing, Benami Proxy",17500000.0
PK-0001,Farhan Ahmed,Lahore,"House 5, Street 2, Gulberg III, Lahore",UNKNOWN,0300-0000001,0.0,0.0,Non-ATL,Businessman,Cash,Cash,4,False,FBR-9012,2,2700.0,Toyota Corolla,Local,0.0,2024,1,80000000.0,20.0,Registry,,Approved,1,2,2025,,120000.0,1440000.0,100000000.0,77.9,HIGH,"Hawala Signature, Dc Underinvoicing, Benami Proxy",100000000.0
PK-0002,Rabia Ahmed,Lahore,"House 5, Street 2, Gulberg III, Lahore",UNKNOWN,0300-0000002,0.0,0.0,Non-ATL,Housewife,,Gift,3,True,FBR-9013,1,1800.0,Honda Civic,Local,0.0,2023,0,0.0,0.0,,,Approved,0,2,2020,,0.0,0.0,5000000.0,34.8,LOW,"Benami Proxy, Nonfiler Surcharge",5000000.0
PK-0003,Bashir Ahmed,Lahore,"Servant Quarter, House 5, Street 2, Gulberg III, Lahore",UNKNOWN,0300-0000004,180000.0,0.0,Non-ATL,Driver,Salary,Cash,1,False,FBR-9015,1,2000.0,Toyota Prado,Local,0.0,2025,0,0.0,0.0,,,Approved,0,2,2020,,0.0,0.0,8000000.0,44.1,LOW,"Benami Proxy, Nonfiler Surcharge",8000000.0
PK-0004,Syed Bilal Hassan,Rawalpindi,"Sector C, Bahria Town, Rawalpindi",UNKNOWN,0321-5556667,600000.0,15000.0,ATL,Businessman,Salary,Foreign Remittance,0,True,FBR-5124,1,1800.0,Honda Civic,Local,0.0,2021,2,33000000.0,22.0,Transfer Letter,,Approved,2,2,2025,,0.0,0.0,38000000.0,62.2,MEDIUM,"Dc Underinvoicing, Section 111 Abuse, File Trading",38000000.0
PK-0005,Dr. Ayesha Malik,Islamabad,"Bahria Town Phase 7, Islamabad",UNKNOWN,0333-9998887,2400000.0,240000.0,ATL,Doctor,Agriculture,Gift,0,True,FBR-1189,1,2700.0,Toyota Fortuner,Local,0.0,2024,1,30000000.0,8.0,Registry,,Approved,1,2,2025,,95000.0,1140000.0,40000000.0,57.4,MEDIUM,"Dc Underinvoicing, Gift Declaration, Agri Shield",40000000.0
PK-0006,Haji Abdul Razzaq,Karachi,"Pechs Block 2, Karachi",UNKNOWN,0345-4443332,0.0,0.0,Non-ATL,Retired,,Cash,7,False,FBR-3321,0,0.0,,Local,0.0,2020,1,80000000.0,40.0,Registry,,Approved,1,2,2025,,150000.0,1800000.0,80000000.0,82.8,CRITICAL,"Benami Proxy, Hawala Signature, Dc Underinvoicing",80000000.0
PK-0007,Tariq Mehmood,Peshawar,"Phase 2, Hayatabad, Peshawar",UNKNOWN,0312-8887776,1200000.0,60000.0,ATL,Importer,Business,Savings,0,True,FBR-8890,1,3444.0,Toyota Land Cruiser,Regular Import,17635.0,2025,0,0.0,0.0,,,Approved,0,2,2020,,48718.0,584616.0,15000000.0,31.6,LOW,Vehicle Underinvoicing,15000000.0
PK-0008,Malik Pervaiz Akhtar,Faisalabad,"Block B, Green Valley Housing Scheme, Faisalabad",UNKNOWN,0301-9988776,500000.0,10000.0,Non-ATL,Retired,Prize Bond,Prize Bond,3,True,FBR-6677,2,2400.0,Toyota Hilux,Baggage Scheme,80000.0,2024,1,8000000.0,10.0,File,,Unapproved,1,2,2025,,15768.0,189216.0,24000000.0,64.3,MEDIUM,"Benami Proxy, Dc Underinvoicing, Vehicle Underinvoicing",24000000.0
PK-0009,Ali Raza,Islamabad,"Flat 4, Block D, I-8, Islamabad",UNKNOWN,0322-7776665,1800000.0,180000.0,ATL,Engineer,Salary,Savings,0,True,FBR-4412,1,660.0,Suzuki Alto,Local,850000.0,2021,0,0.0,0.0,,,Approved,0,2,2020,,17161.0,205932.0,800000.0,0.1,COMPLIANT,Lifestyle / Income Mismatch,800000.0
PK-0010,Waseem Butt,Islamabad,"House 43, G-10, Islamabad",UNKNOWN,0325-1474700,960000.0,96000.0,ATL,Unemployed,Salary,Gift,0,True,FBR-1095,1,1500.0,Toyota Yaris,Imported,0.0,2021,1,4614066.0,20.0,File,,Approved,1,2,2025,,20725.0,248700.0,7614066.0,55.4,MEDIUM,"Benami Proxy, Dc Underinvoicing, File Trading",7614066.0
PK-0011,Fatima Ahmed,Karachi,"House 117, Johar Town, Karachi",UNKNOWN,0330-7055669,480000.0,48000.0,Non-ATL,Unemployed,Salary,Gift,5,True,FBR-1013,1,2000.0,Toyota Prado,Local,0.0,2016,0,0.0,0.0,,,Approved,0,2,2020,,37027.0,444324.0,8000000.0,46.9,MEDIUM,"Benami Proxy, Nonfiler Surcharge, Gift Declaration",8000000.0
PK-0012,Bilal Hassan,Lahore,"House 10, Johar Town, Lahore",UNKNOWN,0316-3775000,1800000.0,180000.0,ATL,Clerk,Agriculture,Gift,0,True,FBR-1014,1,2700.0,Toyota Fortuner,Local,0.0,2016,1,12000000.0,8.0,File,,Approved,1,2,2025,,56871.0,682452.0,22000000.0,63.6,MEDIUM,"Benami Proxy, Dc Underinvoicing, Gift Declaration",22000000.0
PK-0013,Hamza Abbasi,Peshawar,"House 127, Clifton, Peshawar",UNKNOWN,0327-8217544,1800000.0,180000.0,ATL,Teacher,Business,Cash,0,True,FBR-1117,17,3000.0,Toyota Corolla Grande,Local,0.0,2026,11,137000714.0,122.0,Allotment Letter,,Approved,11,2,2025,,30397.29411764706,364767.5294117647,392000714.0,93.6,CRITICAL,"Dc Underinvoicing, Property Flipping, File Trading",392000714.0
PK-0014,Ayesha Nawaz,Lahore,"House 126, Nazimabad, Lahore",UNKNOWN,0320-2679224,960000.0,96000.0,Non-ATL,Doctor,Salary,Gift,5,True,FBR-1016,1,3000.0,Toyota Land Cruiser,Local,0.0,2024,1,19052372.0,10.0,Registry,,Unapproved,1,2,2025,,12360.0,148320.0,34052372.0,64.1,MEDIUM,"Dc Underinvoicing, Gift Declaration, Nonfiler Surcharge",34052372.0
PK-0015,Ali Ahmed,Islamabad,"House 93, Hayatabad, Islamabad",UNKNOWN,0328-4994012,480000.0,48000.0,Non-ATL,Unemployed,Salary,Gift,2,True,FBR-1419,5,2700.0,Toyota Prado,Imported,0.0,2026,4,71445411.0,46.0,Transfer Letter,,Approved,4,2,2025,,31453.666666666668,377444.0,121445411.0,74.5,HIGH,"Benami Proxy, Dc Underinvoicing, Hawala Signature",121445411.0
PK-0016,Amna Rizvi,Lahore,"House 106, Hayatabad, Lahore",UNKNOWN,0336-1537805,960000.0,96000.0,ATL,Teacher,Agriculture,Prize Bond,0,False,FBR-1443,2,2700.0,Toyota Yaris,Imported,0.0,2025,1,10099167.0,10.0,File,,Unapproved,1,2,2025,,31551.0,378612.0,30099167.0,47.9,MEDIUM,"Dc Underinvoicing, Illegal Society, Agri Shield",30099167.0
PK-0017,Zubair Siddiqui,Peshawar,"House 36, Nazimabad, Peshawar",UNKNOWN,0336-7228508,240000.0,24000.0,Non-ATL,Teacher,Agriculture,Gift,6,True,FBR-1436,3,2000.0,Toyota Prado,Local,0.0,2026,1,10371126.0,14.0,Registry,,Approved,1,2,2025,,40070.4,480844.8000000001,34371126.0,63.1,MEDIUM,"Dc Underinvoicing, Hawala Signature, Gift Declaration",34371126.0
PK-0018,Ali Baig,Karachi,"House 125, Pechs, Karachi",UNKNOWN,0325-8852739,960000.0,96000.0,Non-ATL,Housewife,Prize Bond,Cash,1,True,FBR-1277,3,2000.0,Suzuki Alto,Local,0.0,2026,2,30379486.0,24.0,Transfer Letter,,Approved,2,2,2025,,40011.333333333336,480136.0,54379486.0,64.9,MEDIUM,"Benami Proxy, Dc Underinvoicing, File Trading",54379486.0
